,Month,3_days_SR(%),4_days_SR(%)
0,Aug/17,70.96774193548387,90.3225806451613
1,Sep/17,53.333333333333336,63.333333333333336
2,Oct/17,54.83870967741935,77.41935483870968
3,Nov/17,30.0,53.333333333333336
4,Dec/17,54.83870967741935,67.74193548387096
5,Jan/18,45.16129032258065,58.064516129032256
6,Feb/18,32.142857142857146,46.42857142857143
7,Mar/18,32.25806451612903,41.935483870967744
8,Apr/18,30.0,36.666666666666664
9,May/18,83.87096774193549,96.7741935483871
10,Jun/18,70.0,83.33333333333333
11,Jul/18,67.74193548387096,87.09677419354838
12,Aug/18,54.83870967741935,77.41935483870968
13,Sep/18,90.0,100.0
14,Oct/18,67.74193548387096,83.87096774193549
15,Nov/18,36.666666666666664,46.666666666666664
16,Dec/18,48.38709677419355,64.51612903225806
17,Jan/19,90.3225806451613,93.54838709677419
18,Feb/19,78.57142857142857,92.85714285714286
19,Mar/19,83.87096774193549,93.54838709677419
20,Apr/19,76.66666666666667,90.0
21,May/19,90.3225806451613,96.7741935483871
22,Jun/19,53.333333333333336,93.33333333333333
23,Jul/19,77.41935483870968,93.54838709677419
24,Aug/19,74.19354838709677,90.3225806451613
25,Sep/19,46.666666666666664,56.666666666666664
26,Oct/19,32.25806451612903,41.935483870967744
27,Nov/19,96.66666666666667,100.0
28,Dec/19,9.67741935483871,9.67741935483871
29,Jan/20,67.74193548387096,74.19354838709677
30,Feb/20,86.20689655172414,96.55172413793103
31,Mar/20,74.19354838709677,80.64516129032258
32,Apr/20,33.333333333333336,53.333333333333336
33,May/20,51.61290322580645,67.74193548387096
34,Jun/20,83.33333333333333,96.66666666666667
35,Jul/20,70.96774193548387,83.87096774193549
36,Aug/20,67.74193548387096,87.09677419354838
